Park Name,Type of Unit,State,Reg,Alpha
Fort Necessity,National Battlefield,PA,NER,FONE
Fort Point,National Historic Site,CA,PWR,FOPO
Fort Pulaski,National Monument,GA,SER,FOPU
Fort Raleigh,National Historic Site,NC,SER,FORA
Fort Scott,National Historic Site,KS,MWR,FOSC
Fort Smith,National Historic Site,"AR,OK",MWR,FOSM
Fort Stanwix,National Monument,NY,NER,FOST
Fort Sumter,National Monument,SC,SER,FOSU
Ford's Theatre,National Historic Site,DC,NCR,FOTH
Fort Union,National Monument,NM,IMR,FOUN
Fort Union Trading Post,National Historic Site,ND,MWR,FOUS
Fort Vancouver,National Historic Site,WA,PWR,FOVA
Fort Washington,Park,MD,NCR,FOWA
Franklin Delano Roosevelt,Memorial,DC,NCR,FRDE
Frederick Douglass,National Historic Site,DC,NCR,FRDO
Friendship Hill,National Historic Site,PA,NER,FRHI
Frederick Law Olmsted,National Historic Site,MA,NER,FRLA
Fredericksburg & Spotsylvania,National Military Park,VA,NER,FRSP
First State,National Monument,DE,NER,FRST
Gates Of The Arctic,National Park & Preserve,AK,AKR,GAAR
Gauley River,National Recreation Area,WV,NER,GARI
Gateway,National Recreation Area,"NY,NJ",NER,GATE
General Grant,National Memorial,NY,NER,GEGR
George Rogers Clark,National Historical Park,IN,MWR,GERO
Gettysburg,National Military Park,PA,NER,GETT
George Washington Birthplace,National Monument,VA,NER,GEWA
Gila Cliff Dwellings,National Monument,NM,IMR,GICL
Glacier,National Park,MT,IMR,GLAC
Glacier Bay,National Park & Preserve,AK,AKR,GLBA
Glen Canyon,National Recreation Area,"AZ,UT",IMR,GLCA
Golden Gate,National Recreation Area,CA,PWR,GOGA
Governors Island,National Monument,NY,NER,GOIS
Golden Spike,National Historic Site,UT,IMR,GOSP
Great Basin,National Park,NV,PWR,GRBA
Grand Canyon,National Park,AZ,IMR,GRCA
Greenbelt,Park,MD,NCR,GREE
Great Egg Harbor River,,NJ,NER,GREG
Grant-Kohrs Ranch,National Historic Site,MT,IMR,GRKO
Grand Portage,National Monument,MN,MWR,GRPO
Great Sand Dunes,National Park & Preserve,CO,IMR,GRSA
Great Smoky Mountains,National Park,"TN,NC",SER,GRSM
Grand Teton,National Park,WY,IMR,GRTE
Guilford Courthouse,National Military Park,NC,SER,GUCO
Gulf Islands,National Seashore,"FL,MS",SER,GUIS
Guadalupe Mountains,National Park,TX,IMR,GUMO
George Washington Carver,National Monument,MO,MWR,GWCA
George Washington,Memorial Parkway,DC,NCR,GWMP
Harpers Ferry,National Historical Park,WV,NCR,HAFE
Hagerman Fossil Beds,National Monument,ID,PWR,HAFO
Hamilton Grange,National Memorial,NY,NER,HAGR
Haleakala,National Park,HI,PWR,HALE
Hampton,National Historic Site,MD,NER,HAMP
Harriet Tubman Underground Railroad,National Monument,MDL,NCR,HATU
Hawaii Volcanoes,National Park,HI,PWR,HAVO
Herbert Hoover,National Historic Site,IA,MWR,HEHO
Horseshoe Bend,National Military Park,AL,SER,HOBE
Hopewell Culture,National Historical Park,OH,MWR,HOCU
Home Of Franklin D Roosevelt,National Historic Site,NY,NER,HOFR
Hopewell Furnace,National Historic Site,PA,NER,HOFU
Homestead,National Monument of America,NE,MWR,HOME
Hot Springs,National Park,AR,MWR,HOSP
Hovenweep,National Monument,UT,IMR,HOVE
Harry S Truman,National Historic Site,MO,MWR,HSTR
Hubbell Trading Post,National Historic Site,AZ,IMR,HUTR
Independence,National Historical Park,PA,NER,INDE
Indiana Dunes,National Lakeshore,IN,MWR,INDU
Isle Royale,National Park,MI,MWR,ISRO
James A Garfield,National Historic Site,OH,MWR,JAGA
New Orleans Jazz,National Historical Park,LA,SER,JAZZ
Jewel Cave,National Monument,SD,MWR,JECA
Jefferson,National Expansion Memorial,MO,MWR,JEFF
Jean Lafitte,National Historical Park and Preserve,LA,SER,JELA
Jimmy Carter,National Historic Site,GA,SER,JICA
John Day Fossil Beds,National Monument,OR,PWR,JODA
John D Rockefeller Jr,Memorial Parkway,WY,IMR,JODR
John F Kennedy,National Historic Site,MA,NER,JOFI
Johnstown Flood,National Memorial,PA,NER,JOFL
John Muir,National Historic Site,CA,PWR,JOMU
Joshua Tree,National Park,CA,PWR,JOTR
Kaloko-Honokohau,National Historical Park,HI,PWR,KAHO
Kalaupapa,National Historical Park,HI,PWR,KALA
Katmai,National Park & Preserve,AK,AKR,KATM
Kenai Fjords,National Park,AK,AKR,KEFJ
Kennesaw Mountain,National Battlefield Park,GA,SER,KEMO
Keweenaw,National Historical Park,MI,MWR,KEWE
Kings Mountain,National Military Park,SC,SER,KIMO
Klondike Gold Rush,National Historical Park,AK,AKR,KLGO
Knife River Indian Villages,National Historic Site,ND,MWR,KNRI
Kobuk Valley,National Park,AK,AKR,KOVA
Korean War Veterans,Memorial,DC,NCR,KOWA
Lava Beds,National Monument,CA,PWR,LABE
Lake Chelan,National Recreation Area,WA,PWR,LACH
Lake Clark,National Park & Preserve,AK,AKR,LACL
Lake Mead,National Recreation Area,"AZ,NV",PWR,LAME
